age,age_group,bmi,bmi_category,calories,duration,heart_rate,height,weight,Intensity Index,Calorie per kg,Gender,Gender Numeric,scaled_intensity_index,Age group 10 year,Intensity Level,duration_bin,heart_rate_bin
45,42-47,21.92612582,Normal,173.0,26,107,154,52,20.0612873,3.326923077,Female,1,1.898794282,45-54,Very Low,21-30 min,High (100-119 bpm)
21,18-23,25.73708141,Overweight,189.0,29,111,187,90,30.53811536,2.1,Male,0,2.380055799,15-24,Low,21-30 min,High (100-119 bpm)
58,54-59,24.85795455,Normal,53.0,11,90,176,77,8.687214744,0.688311688,Male,0,1.376317117,55-64,Very Low,11-20 min,Moderate (80-99 bpm)
35,30-35,26.86873566,Overweight,161.0,24,108,182,89,24.45287909,1.808988764,Male,0,2.10052558,35-44,Low,21-30 min,High (100-119 bpm)
67,66-71,22.91303307,Normal,226.0,29,116,171,67,27.53552672,3.373134328,Female,1,2.242129477,65-74,Low,21-30 min,High (100-119 bpm)
66,60-65,22.58270917,Normal,179.0,29,100,163,60,22.46330341,2.983333333,Female,1,2.009132822,65-74,Low,21-30 min,High (100-119 bpm)
69,66-71,26.59500014,Overweight,98.0,15,95,189,95,13.88918194,1.031578947,Male,0,1.615273661,65-74,Very Low,11-20 min,Moderate (80-99 bpm)
50,48-53,25.97867957,Overweight,44.0,10,88,183,87,8.208093567,0.505747126,Male,0,1.354308301,45-54,Very Low,0-10 min,Moderate (80-99 bpm)
41,36-41,23.7021621,Normal,79.0,14,100,186,82,12.67753919,0.963414634,Male,0,1.559615878,35-44,Very Low,11-20 min,High (100-119 bpm)
40,36-41,24.91990032,Normal,59.0,12,93,159,63,8.857975389,0.936507937,Female,1,1.384161144,35-44,Very Low,11-20 min,Moderate (80-99 bpm)
46,42-47,25.25951557,Overweight,123.0,20,105,170,73,17.94240787,1.684931507,Female,1,1.801461852,45-54,Very Low,11-20 min,High (100-119 bpm)
27,24-29,24.06404739,Normal,54.0,13,87,147,52,8.155756985,1.038461538,Female,1,1.351904178,25-34,Very Low,11-20 min,Moderate (80-99 bpm)
27,24-29,26.46799333,Overweight,14.0,5,82,200,108,4.260844987,0.12962963,Male,0,1.172988265,25-34,Very Low,0-10 min,Moderate (80-99 bpm)
78,72-77,27.42857143,Overweight,177.0,20,109,175,84,19.98003003,2.107142857,Male,0,1.895061664,75-80,Very Low,11-20 min,High (100-119 bpm)
60,54-59,26.04096754,Overweight,230.0,30,105,193,97,31.02390208,2.371134021,Male,0,2.402370803,55-64,Low,21-30 min,High (100-119 bpm)
42,36-41,22.7189744,Normal,14.0,3,88,157,56,1.9755951,0.25,Female,1,1.068013474,35-44,Very Low,0-10 min,Moderate (80-99 bpm)
34,30-35,24.41927902,Normal,98.0,18,101,181,80,16.26068633,1.225,Male,0,1.724210621,25-34,Very Low,11-20 min,High (100-119 bpm)
41,36-41,24.44180209,Normal,130.0,20,109,174,74,18.75306908,1.756756757,Female,1,1.838700226,35-44,Very Low,11-20 min,High (100-119 bpm)
38,36-41,23.62028791,Normal,158.0,25,108,177,74,23.22627822,2.135135135,Female,1,2.044180683,35-44,Low,21-30 min,High (100-119 bpm)
33,30-35,25.14285714,Overweight,7.0,3,81,175,77,2.132316346,0.090909091,Male,0,1.075212591,25-34,Very Low,0-10 min,Moderate (80-99 bpm)
24,18-23,24.25127831,Normal,50.0,15,90,185,83,12.29908533,0.602409639,Male,0,1.542231295,15-24,Very Low,11-20 min,Moderate (80-99 bpm)
34,30-35,24.96800974,Normal,90.0,18,98,179,80,15.77769565,1.125,Male,0,1.702024056,25-34,Very Low,11-20 min,Moderate (80-99 bpm)
26,24-29,25.55932916,Overweight,25.0,10,85,169,73,7.262403184,0.342465753,Male,0,1.310867253,25-34,Very Low,0-10 min,Moderate (80-99 bpm)
72,66-71,24.39105884,Normal,86.0,15,97,173,73,12.43152545,1.178082192,Female,1,1.548315039,65-74,Very Low,11-20 min,Moderate (80-99 bpm)
24,18-23,26.04095282,Overweight,20.0,6,88,191,95,5.146307414,0.210526316,Male,0,1.213662693,15-24,Very Low,0-10 min,Moderate (80-99 bpm)
78,72-77,24.96800974,Normal,128.0,21,100,179,80,18.78297101,1.6,Female,1,1.840073795,75-80,Very Low,21-30 min,High (100-119 bpm)
76,72-77,26.49302563,Overweight,105.0,14,101,177,83,12.88215308,1.265060241,Male,0,1.569014981,75-80,Very Low,11-20 min,High (100-119 bpm)
42,36-41,24.05693475,Normal,189.0,28,111,173,72,26.37225451,2.625,Female,1,2.188693633,35-44,Low,21-30 min,High (100-119 bpm)
52,48-53,23.87511478,Normal,121.0,19,105,165,65,16.08420421,1.861538462,Female,1,1.716103773,45-54,Very Low,11-20 min,High (100-119 bpm)
28,24-29,24.56747405,Normal,100.0,18,102,170,71,15.47041098,1.408450704,Female,1,1.687908688,25-34,Very Low,11-20 min,High (100-119 bpm)
56,54-59,23.7332384,Normal,25.0,5,91,159,60,3.524414845,0.416666667,Female,1,1.139159754,55-64,Very Low,0-10 min,Moderate (80-99 bpm)
76,72-77,24.99420238,Normal,244.0,27,109,197,97,28.98518851,2.515463918,Male,0,2.308720856,75-80,Low,21-30 min,High (100-119 bpm)
23,18-23,23.42773844,Normal,55.0,14,93,196,90,12.35185654,0.611111111,Male,0,1.544655383,15-24,Very Low,11-20 min,Moderate (80-99 bpm)
40,36-41,24.11403803,Normal,47.0,12,89,181,79,9.492591638,0.594936709,Male,0,1.413312752,35-44,Very Low,11-20 min,Moderate (80-99 bpm)
32,30-35,22.31327843,Normal,133.0,19,113,157,55,15.92257815,2.418181818,Female,1,1.70867935,25-34,Very Low,11-20 min,High (100-119 bpm)
23,18-23,23.92485822,Normal,113.0,21,104,184,81,19.656,1.395061728,Male,0,1.880177084,15-24,Very Low,21-30 min,High (100-119 bpm)
34,30-35,22.36744002,Normal,38.0,7,97,151,51,4.849029903,0.745098039,Female,1,1.200007011,25-34,Very Low,0-10 min,Moderate (80-99 bpm)
43,42-47,25.55932916,Overweight,129.0,21,104,169,73,18.66010418,1.767123288,Male,0,1.834429809,35-44,Very Low,21-30 min,High (100-119 bpm)
37,36-41,26.88093499,Overweight,11.0,3,87,185,92,2.503424055,0.119565217,Male,0,1.092259722,35-44,Very Low,0-10 min,Moderate (80-99 bpm)
24,18-23,21.71925011,Normal,129.0,22,104,162,57,17.27402119,2.263157895,Female,1,1.770758973,15-24,Very Low,21-30 min,High (100-119 bpm)
68,66-71,26.95984034,Overweight,201.0,25,108,169,77,23.69240385,2.61038961,Male,0,2.065592539,65-74,Low,21-30 min,High (100-119 bpm)
34,30-35,24.5603263,Normal,168.0,25,110,151,56,20.57911563,3.0,Female,1,1.922581142,25-34,Very Low,21-30 min,High (100-119 bpm)
36,30-35,26.7755102,Overweight,146.0,22,108,175,82,21.51559509,1.780487805,Male,0,1.965599079,35-44,Very Low,21-30 min,High (100-119 bpm)
40,36-41,24.30248706,Normal,60.0,14,89,178,77,10.93360563,0.779220779,Female,1,1.479506888,35-44,Very Low,11-20 min,Moderate (80-99 bpm)
58,54-59,22.35434007,Normal,68.0,13,91,145,47,8.110239392,1.446808511,Female,1,1.34981329,55-64,Very Low,11-20 min,Moderate (80-99 bpm)
52,48-53,25.97867957,Overweight,53.0,11,90,183,87,9.234105263,0.609195402,Male,0,1.401438973,45-54,Very Low,11-20 min,Moderate (80-99 bpm)
26,24-29,25.49272224,Overweight,78.0,17,96,191,93,15.73843804,0.838709677,Male,0,1.700220726,25-34,Very Low,11-20 min,Moderate (80-99 bpm)
71,66-71,24.6097337,Normal,198.0,27,111,165,67,24.53150226,2.955223881,Female,1,2.104137199,65-74,Low,21-30 min,High (100-119 bpm)
40,36-41,26.58420139,Overweight,139.0,24,99,192,98,23.52119997,1.418367347,Male,0,2.057728151,35-44,Low,21-30 min,Moderate (80-99 bpm)
45,42-47,27.42382271,Overweight,125.0,18,105,190,99,18.80526256,1.262626263,Male,0,1.841097776,45-54,Very Low,11-20 min,High (100-119 bpm)
30,24-29,23.54570637,Normal,11.0,3,90,190,85,2.489277003,0.129411765,Male,0,1.091609865,25-34,Very Low,0-10 min,Moderate (80-99 bpm)
25,24-29,23.71184463,Normal,112.0,20,102,163,63,16.19199802,1.777777778,Female,1,1.721055369,25-34,Very Low,11-20 min,High (100-119 bpm)
24,18-23,24.94449165,Normal,158.0,26,107,191,91,26.53858858,1.736263736,Male,0,2.196334322,15-24,Low,21-30 min,High (100-119 bpm)
21,18-23,23.73530842,Normal,92.0,19,101,187,83,17.48292204,1.108433735,Male,0,1.780355001,15-24,Very Low,11-20 min,High (100-119 bpm)
37,36-41,22.80601728,Normal,69.0,15,89,151,52,9.626821905,1.326923077,Female,1,1.419478727,35-44,Very Low,11-20 min,Moderate (80-99 bpm)
73,72-77,24.51559546,Normal,86.0,15,98,184,83,13.39233736,1.036144578,Female,1,1.592450706,65-74,Very Low,11-20 min,Moderate (80-99 bpm)
30,24-29,25.0995016,Overweight,160.0,27,107,167,70,24.17110817,2.285714286,Male,0,2.087582206,25-34,Low,21-30 min,High (100-119 bpm)
32,30-35,25.1063327,Overweight,18.0,5,89,184,85,4.102697283,0.211764706,Male,0,1.165723623,25-34,Very Low,0-10 min,Moderate (80-99 bpm)
60,54-59,23.8497766,Normal,30.0,8,82,182,79,5.830655538,0.379746835,Male,0,1.245098774,55-64,Very Low,0-10 min,Moderate (80-99 bpm)
73,72-77,24.05693475,Normal,96.0,16,99,173,72,13.4406857,1.333333333,Female,1,1.594671626,65-74,Very Low,11-20 min,Moderate (80-99 bpm)
41,36-41,24.67037636,Normal,39.0,9,90,191,90,7.684334714,0.433333333,Male,0,1.330249017,35-44,Very Low,0-10 min,Moderate (80-99 bpm)
35,30-35,23.30558859,Normal,109.0,18,103,145,49,12.978,2.224489796,Female,1,1.573417786,35-44,Very Low,11-20 min,High (100-119 bpm)
33,30-35,21.71925011,Normal,90.0,17,97,162,57,12.44967698,1.578947368,Female,1,1.549148844,25-34,Very Low,11-20 min,Moderate (80-99 bpm)
52,48-53,25.10387812,Overweight,51.0,10,92,152,58,7.006511257,0.879310345,Female,1,1.299112652,45-54,Very Low,0-10 min,Moderate (80-99 bpm)
